,t,k=0,k=1,k=2,k=3,k=4,k=5,k=6
202,2.02,-9.844849567949733,-9.844849567949733,-9.844849567949733,-9.844849567949733,-9.844849567949733,-9.844849567949733,-9.844849567949733
203,2.0300000000000002,-10.193271003896902,-10.193271003896902,-10.193271003896902,-10.193271003896902,-10.193271003896902,-10.193271003896902,-10.193271003896902
204,2.04,-10.530143876213288,-10.530143876213288,-10.530143876213288,-10.530143876213288,-10.530143876213288,-10.530143876213288,-10.530143876213288
205,2.05,-10.849894357880252,-10.849894357880252,-10.849894357880252,-10.849894357880252,-10.849894357880252,-10.849894357880252,-10.849894357880252
206,2.06,-11.146609507315585,-11.146609507315585,-11.146609507315585,-11.146609507315585,-11.146609507315585,-11.146609507315585,-11.146609507315585
207,2.07,-11.414194922249731,-11.414194922249731,-11.414194922249731,-11.414194922249731,-11.414194922249731,-11.414194922249731,-11.414194922249731
208,2.08,-11.646574535136622,-11.646574535136622,-11.646574535136622,-11.646574535136622,-11.646574535136622,-11.646574535136622,-11.646574535136622
209,2.09,-11.837926077647868,-11.837926077647868,-11.837926077647868,-11.837926077647868,-11.837926077647868,-11.837926077647868,-11.837926077647868
210,2.1,-11.982940460039304,-11.982940460039304,-11.982940460039304,-11.982940460039304,-11.982940460039304,-11.982940460039304,-11.982940460039304
211,2.11,-12.077088288061082,-12.077088288061082,-12.077088288061082,-12.077088288061082,-12.077088288061082,-12.077088288061082,-12.077088288061082
212,2.12,-12.116872903031453,-12.116872903031453,-12.116872903031453,-12.116872903031453,-12.116872903031453,-12.116872903031453,-12.116872903031453
213,2.13,-12.100047608183205,-12.100047608183205,-12.100047608183205,-12.100047608183205,-12.100047608183205,-12.100047608183205,-12.100047608183205
214,2.14,-12.025775832670996,-12.025775832670996,-12.025775832670996,-12.025775832670996,-12.025775832670996,-12.025775832670996,-12.025775832670996
215,2.15,-11.894717121233459,-11.894717121233459,-11.894717121233459,-11.894717121233459,-11.894717121233459,-11.894717121233459,-11.894717121233459
216,2.16,-11.709028661033182,-11.709028661033182,-11.709028661033182,-11.709028661033182,-11.709028661033182,-11.709028661033182,-11.709028661033182
217,2.17,-11.472280618427364,-11.472280618427364,-11.472280618427364,-11.472280618427364,-11.472280618427364,-11.472280618427364,-11.472280618427364
218,2.18,-11.189292501412272,-11.189292501412272,-11.189292501412272,-11.189292501412272,-11.189292501412272,-11.189292501412272,-11.189292501412272
219,2.19,-10.865905633132067,-10.865905633132067,-10.865905633132067,-10.865905633132067,-10.865905633132067,-10.865905633132067,-10.865905633132067
220,2.2,-10.508712404165532,-10.508712404165532,-10.508712404165532,-10.508712404165532,-10.508712404165532,-10.508712404165532,-10.508712404165532
221,2.21,-10.124765559148134,-10.124765559148134,-10.124765559148134,-10.124765559148134,-10.124765559148134,-10.124765559148134,-10.124765559148134
222,2.22,-9.721290280048395,-9.721290280048395,-9.721290280048395,-9.721290280048395,-9.721290280048395,-9.721290280048395,-9.721290280048395
223,2.23,-9.305418730892738,-9.305418730892738,-9.305418730892738,-9.305418730892738,-9.305418730892738,-9.305418730892738,-9.305418730892738
224,2.24,-8.883961879471165,-8.883961879471165,-8.883961879471165,-8.883961879471165,-8.883961879471165,-8.883961879471165,-8.883961879471165
225,2.25,-8.463227796295511,-8.463227796295511,-8.463227796295511,-8.463227796295511,-8.463227796295511,-8.463227796295511,-8.463227796295511
226,2.2600000000000002,-8.048890148244526,-8.048890148244526,-8.048890148244526,-8.048890148244526,-8.048890148244526,-8.048890148244526,-8.048890148244526
227,2.27,-7.645905918264876,-7.645905918264876,-7.645905918264876,-7.645905918264876,-7.645905918264876,-7.645905918264876,-7.645905918264876
228,2.2800000000000002,-7.2584778667168335,-7.2584778667168335,-7.2584778667168335,-7.2584778667168335,-7.2584778667168335,-7.2584778667168335,-7.2584778667168335
229,2.29,-6.890055006767841,-6.890055006767841,-6.890055006767841,-6.890055006767841,-6.890055006767841,-6.890055006767841,-6.890055006767841
230,2.3000000000000003,-6.543363293384643,-6.543363293384643,-6.543363293384643,-6.543363293384643,-6.543363293384643,-6.543363293384643,-6.543363293384643
231,2.31,-6.220458598771384,-6.220458598771384,-6.220458598771384,-6.220458598771384,-6.220458598771384,-6.220458598771384,-6.220458598771384
232,2.32,-5.9227945958027775,-5.9227945958027775,-5.9227945958027775,-5.9227945958027775,-5.9227945958027775,-5.9227945958027775,-5.9227945958027775
233,2.33,-5.6512991334218,-5.6512991334218,-5.6512991334218,-5.6512991334218,-5.6512991334218,-5.6512991334218,-5.6512991334218
234,2.34,-5.406453844404002,-5.406453844404002,-5.406453844404002,-5.406453844404002,-5.406453844404002,-5.406453844404002,-5.406453844404002
235,2.35,-5.188372912001805,-5.188372912001805,-5.188372912001805,-5.188372912001805,-5.188372912001805,-5.188372912001805,-5.188372912001805
236,2.36,-4.996878028476064,-4.996878028476064,-4.996878028476064,-4.996878028476064,-4.996878028476064,-4.996878028476064,-4.996878028476064
237,2.37,-4.831567543007636,-4.831567543007636,-4.831567543007636,-4.831567543007636,-4.831567543007636,-4.831567543007636,-4.831567543007636
238,2.38,-4.691878592254646,-4.691878592254646,-4.691878592254646,-4.691878592254646,-4.691878592254646,-4.691878592254646,-4.691878592254646
239,2.39,-4.577141631666212,-4.577141631666212,-4.577141631666212,-4.577141631666212,-4.577141631666212,-4.577141631666212,-4.577141631666212
240,2.4,-4.48662725232824,-4.48662725232824,-4.48662725232824,-4.48662725232824,-4.48662725232824,-4.48662725232824,-4.48662725232824
241,2.41,-4.4195854970588,-4.4195854970588,-4.4195854970588,-4.4195854970588,-4.4195854970588,-4.4195854970588,-4.4195854970588
242,2.42,-4.375278103828081,-4.375278103828081,-4.375278103828081,-4.375278103828081,-4.375278103828081,-4.375278103828081,-4.375278103828081
243,2.43,-4.353004227007148,-4.353004227007148,-4.353004227007148,-4.353004227007148,-4.353004227007148,-4.353004227007148,-4.353004227007148
244,2.44,-4.352120237865298,-4.352120237865298,-4.352120237865298,-4.352120237865298,-4.352120237865298,-4.352120237865298,-4.352120237865298
245,2.45,-4.3720542025260825,-4.3720542025260825,-4.3720542025260825,-4.3720542025260825,-4.3720542025260825,-4.3720542025260825,-4.3720542025260825
246,2.46,-4.41231559245727,-4.41231559245727,-4.41231559245727,-4.41231559245727,-4.41231559245727,-4.41231559245727,-4.41231559245727
247,2.47,-4.472500710728444,-4.472500710728444,-4.472500710728444,-4.472500710728444,-4.472500710728444,-4.472500710728444,-4.472500710728444
248,2.48,-4.552294225358999,-4.552294225358999,-4.552294225358999,-4.552294225358999,-4.552294225358999,-4.552294225358999,-4.552294225358999
249,2.49,-4.651467095650943,-4.651467095650943,-4.651467095650943,-4.651467095650943,-4.651467095650943,-4.651467095650943,-4.651467095650943
250,2.5,-4.769871063453949,-4.769871063453949,-4.769871063453949,-4.769871063453949,-4.769871063453949,-4.769871063453949,-4.769871063453949
251,2.5100000000000002,-4.907429762843526,-4.907429762843526,-4.907429762843526,-4.907429762843526,-4.907429762843526,-4.907429762843526,-4.907429762843526
252,2.52,-5.064126382280413,-5.064126382280413,-5.064126382280413,-5.064126382280413,-5.064126382280413,-5.064126382280413,-5.064126382280413
253,2.5300000000000002,-5.2399876967196,-5.2399876967196,-5.2399876967196,-5.2399876967196,-5.2399876967196,-5.2399876967196,-5.2399876967196
254,2.54,-5.435064177965718,-5.435064177965718,-5.435064177965718,-5.435064177965718,-5.435064177965718,-5.435064177965718,-5.435064177965718
255,2.5500000000000003,-5.649405796042261,-5.649405796042261,-5.649405796042261,-5.649405796042261,-5.649405796042261,-5.649405796042261,-5.649405796042261
256,2.56,-5.883033051094232,-5.883033051094232,-5.883033051094232,-5.883033051094232,-5.883033051094232,-5.883033051094232,-5.883033051094232
257,2.57,-6.1359027363233665,-6.1359027363233665,-6.1359027363233665,-6.1359027363233665,-6.1359027363233665,-6.1359027363233665,-6.1359027363233665
258,2.58,-6.407867943790377,-6.407867943790377,-6.407867943790377,-6.407867943790377,-6.407867943790377,-6.407867943790377,-6.407867943790377
259,2.59,-6.6986319076454475,-6.6986319076454475,-6.6986319076454475,-6.6986319076454475,-6.6986319076454475,-6.6986319076454475,-6.6986319076454475
260,2.6,-7.007695459742115,-7.007695459742115,-7.007695459742115,-7.007695459742115,-7.007695459742115,-7.007695459742115,-7.007695459742115
261,2.61,-7.334298181717648,-7.334298181717648,-7.334298181717648,-7.334298181717648,-7.334298181717648,-7.334298181717648,-7.334298181717648
262,2.62,-7.6773538095591665,-7.6773538095591665,-7.6773538095591665,-7.6773538095591665,-7.6773538095591665,-7.6773538095591665,-7.6773538095591665
263,2.63,-8.035381114657934,-8.035381114657934,-8.035381114657934,-8.035381114657934,-8.035381114657934,-8.035381114657934,-8.035381114657934
264,2.64,-8.406432375062781,-8.406432375062781,-8.406432375062781,-8.406432375062781,-8.406432375062781,-8.406432375062781,-8.406432375062781
265,2.65,-8.78802266983751,-8.78802266983751,-8.78802266983751,-8.78802266983751,-8.78802266983751,-8.78802266983751,-8.78802266983751
266,2.66,-9.177064553632714,-9.177064553632714,-9.177064553632714,-9.177064553632714,-9.177064553632714,-9.177064553632714,-9.177064553632714
267,2.67,-9.569814123474766,-9.569814123474766,-9.569814123474766,-9.569814123474766,-9.569814123474766,-9.569814123474766,-9.569814123474766
268,2.68,-9.961835932638957,-9.961835932638957,-9.961835932638957,-9.961835932638957,-9.961835932638957,-9.961835932638957,-9.961835932638957
269,2.69,-10.347995411630844,-10.347995411630844,-10.347995411630844,-10.347995411630844,-10.347995411630844,-10.347995411630844,-10.347995411630844
270,2.7,-10.722488112308215,-10.722488112308215,-10.722488112308215,-10.722488112308215,-10.722488112308215,-10.722488112308215,-10.722488112308215
271,2.71,-11.07891482000705,-11.07891482000705,-11.07891482000705,-11.07891482000705,-11.07891482000705,-11.07891482000705,-11.07891482000705
272,2.72,-11.410409987000609,-11.410409987000609,-11.410409987000609,-11.410409987000609,-11.410409987000609,-11.410409987000609,-11.410409987000609
273,2.73,-11.709827709833823,-11.709827709833823,-11.709827709833823,-11.709827709833823,-11.709827709833823,-11.709827709833823,-11.709827709833823
274,2.74,-11.969984480693423,-11.969984480693423,-11.969984480693423,-11.969984480693423,-11.969984480693423,-11.969984480693423,-11.969984480693423
275,2.75,-12.18395139558589,-12.18395139558589,-12.18395139558589,-12.18395139558589,-12.18395139558589,-12.18395139558589,-12.18395139558589
276,2.7600000000000002,-12.34538103547754,-12.34538103547754,-12.34538103547754,-12.34538103547754,-12.34538103547754,-12.34538103547754,-12.34538103547754
277,2.77,-12.44884692884469,-12.44884692884469,-12.44884692884469,-12.44884692884469,-12.44884692884469,-12.44884692884469,-12.44884692884469
278,2.7800000000000002,-12.490167753166341,-12.490167753166341,-12.490167753166341,-12.490167753166341,-12.490167753166341,-12.490167753166341,-12.490167753166341
279,2.79,-12.466685683186059,-12.466685683186059,-12.466685683186059,-12.466685683186059,-12.466685683186059,-12.466685683186059,-12.466685683186059
280,2.8000000000000003,-12.377469656253625,-12.377469656253625,-12.377469656253625,-12.377469656253625,-12.377469656253625,-12.377469656253625,-12.377469656253625
281,2.81,-12.223420197240683,-12.223420197240683,-12.223420197240683,-12.223420197240683,-12.223420197240683,-12.223420197240683,-12.223420197240683
282,2.82,-12.007262272340506,-12.007262272340506,-12.007262272340506,-12.007262272340506,-12.007262272340506,-12.007262272340506,-12.007262272340506
283,2.83,-11.733424934203605,-11.733424934203605,-11.733424934203605,-11.733424934203605,-11.733424934203605,-11.733424934203605,-11.733424934203605
284,2.84,-11.407819169091342,-11.407819169091342,-11.407819169091342,-11.407819169091342,-11.407819169091342,-11.407819169091342,-11.407819169091342
285,2.85,-11.037536145035048,-11.037536145035048,-11.037536145035048,-11.037536145035048,-11.037536145035048,-11.037536145035048,-11.037536145035048
286,2.86,-10.630495226187398,-10.630495226187398,-10.630495226187398,-10.630495226187398,-10.630495226187398,-10.630495226187398,-10.630495226187398
287,2.87,-10.195073759140154,-10.195073759140154,-10.195073759140154,-10.195073759140154,-10.195073759140154,-10.195073759140154,-10.195073759140154
288,2.88,-9.73974883878361,-9.73974883878361,-9.73974883878361,-9.73974883878361,-9.73974883878361,-9.73974883878361,-9.73974883878361
289,2.89,-9.272775947439658,-9.272775947439658,-9.272775947439658,-9.272775947439658,-9.272775947439658,-9.272775947439658,-9.272775947439658
290,2.9,-8.801921942615847,-8.801921942615847,-8.801921942615847,-8.801921942615847,-8.801921942615847,-8.801921942615847,-8.801921942615847
291,2.91,-8.33426184307817,-8.33426184307817,-8.33426184307817,-8.33426184307817,-8.33426184307817,-8.33426184307817,-8.33426184307817
292,2.92,-7.876041485066224,-7.876041485066224,-7.876041485066224,-7.876041485066224,-7.876041485066224,-7.876041485066224,-7.876041485066224
293,2.93,-7.432602218604291,-7.432602218604291,-7.432602218604291,-7.432602218604291,-7.432602218604291,-7.432602218604291,-7.432602218604291
294,2.94,-7.008359754712254,-7.008359754712254,-7.008359754712254,-7.008359754712254,-7.008359754712254,-7.008359754712254,-7.008359754712254
295,2.95,-6.606827038747092,-6.606827038747092,-6.606827038747092,-6.606827038747092,-6.606827038747092,-6.606827038747092,-6.606827038747092
296,2.96,-6.2306703376930725,-6.2306703376930725,-6.2306703376930725,-6.2306703376930725,-6.2306703376930725,-6.2306703376930725,-6.2306703376930725
297,2.97,-5.881788192109687,-5.881788192109687,-5.881788192109687,-5.881788192109687,-5.881788192109687,-5.881788192109687,-5.881788192109687
298,2.98,-5.561404083252372,-5.561404083252372,-5.561404083252372,-5.561404083252372,-5.561404083252372,-5.561404083252372,-5.561404083252372
299,2.99,-5.270165241929935,-5.270165241929935,-5.270165241929935,-5.270165241929935,-5.270165241929935,-5.270165241929935,-5.270165241929935
300,3.0,-5.008241701885665,-5.008241701885665,-5.008241701885665,-5.008241701885665,-5.008241701885665,-5.008241701885665,-5.008241701885665
301,3.0100000000000002,-4.775421290339023,-4.775421290339023,-4.775421290339023,-4.775421290339023,-4.775421290339023,-4.775421290339023,-4.775421290339023
302,3.02,-4.5711976436090636,-4.5711976436090636,-4.5711976436090636,-4.5711976436090636,-4.5711976436090636,-4.5711976436090636,-4.5711976436090636
303,3.0300000000000002,-4.39484948850272,-4.39484948850272,-4.39484948850272,-4.39484948850272,-4.39484948850272,-4.39484948850272,-4.39484948850272
304,3.04,-4.245510333788402,-4.245510333788402,-4.245510333788402,-4.245510333788402,-4.245510333788402,-4.245510333788402,-4.245510333788402
305,3.0500000000000003,-4.122228389076601,-4.122228389076601,-4.122228389076601,-4.122228389076601,-4.122228389076601,-4.122228389076601,-4.122228389076601
306,3.06,-4.02401700201045,-4.02401700201045,-4.02401700201045,-4.02401700201045,-4.02401700201045,-4.02401700201045,-4.02401700201045
307,3.0700000000000003,-3.9498962143031235,-3.9498962143031235,-3.9498962143031235,-3.9498962143031235,-3.9498962143031235,-3.9498962143031235,-3.9498962143031235
308,3.08,-3.8989262173537784,-3.8989262173537784,-3.8989262173537784,-3.8989262173537784,-3.8989262173537784,-3.8989262173537784,-3.8989262173537784
309,3.09,-3.87023356966894,-3.87023356966894,-3.87023356966894,-3.87023356966894,-3.87023356966894,-3.87023356966894,-3.87023356966894
310,3.1,-3.8630310469100846,-3.8630310469100846,-3.8630310469100846,-3.8630310469100846,-3.8630310469100846,-3.8630310469100846,-3.8630310469100846
311,3.11,-3.8766319517691255,-3.8766319517691255,-3.8766319517691255,-3.8766319517691255,-3.8766319517691255,-3.8766319517691255,-3.8766319517691255
312,3.12,-3.9104596310027304,-3.9104596310027304,-3.9104596310027304,-3.9104596310027304,-3.9104596310027304,-3.9104596310027304,-3.9104596310027304
